P,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc,A_mass,B_mass,X_mass
159,1.8058,-15771.51066,-15780.45366,16.488291,9.971273,3.181799,3.20329,3.195352,9.075557,12.390431,8.017975,901.621769,2.80265,2.299708,1.157447,1.164178,1.161697,2.205585,2.516924,2.081686,132.905,207.2,126.904
160,1.8098,-15771.45399,-15780.44295,16.512415,10.068151,3.179477,3.201286,3.199316,9.082796,12.375568,8.012014,900.588452,2.804113,2.309377,1.156717,1.163553,1.162937,2.206382,2.515724,2.080942,132.905,207.2,126.904
161,1.7875,-15771.38786,-15780.47534,15.41149,10.505518,3.176505,3.196732,3.191297,9.003641,12.326122,8.152779,904.79521,2.735113,2.351901,1.155782,1.162129,1.160427,2.197629,2.511721,2.098359,132.905,207.2,126.904
162,1.8093,-15771.34188,-15780.43246,16.583454,10.014104,3.179606,3.200301,3.197819,9.082178,12.380001,8.000237,899.525633,2.808405,2.303995,1.156757,1.163245,1.162469,2.206314,2.516082,2.079471,132.905,207.2,126.904
163,1.804,-15771.28577,-15780.43588,16.524252,9.977932,3.180526,3.200443,3.194672,9.077042,12.385647,8.004075,899.858417,2.804829,2.300376,1.157047,1.163289,1.161484,2.205748,2.516538,2.079951,132.905,207.2,126.904
164,1.8135,-15771.22974,-15780.41962,16.666185,10.104086,3.178622,3.201082,3.199081,9.082216,12.37044,7.99514,898.262088,2.813382,2.31294,1.156448,1.163489,1.162863,2.206318,2.51531,2.078834,132.905,207.2,126.904
165,1.7827,-15771.16242,-15780.46185,15.490876,10.535175,3.1726,3.197694,3.192639,9.016512,12.309848,8.139718,903.442718,2.740251,2.35472,1.154552,1.16243,1.160848,2.199058,2.5104,2.096756,132.905,207.2,126.904
166,1.8226,-15771.11741,-15780.40349,16.796402,10.191051,3.180632,3.200092,3.200306,9.087666,12.373442,7.974783,896.730206,2.821165,2.32151,1.15708,1.163179,1.163246,2.206918,2.515552,2.076284,132.905,207.2,126.904
167,1.8279,-15771.06177,-15780.3899,16.946965,10.177886,3.185081,3.201542,3.196022,9.080206,12.391954,7.957635,895.404954,2.830089,2.320217,1.158478,1.163633,1.161907,2.206097,2.517047,2.074132,132.905,207.2,126.904
168,1.8223,-15771.00608,-15780.39225,16.882177,10.181386,3.184684,3.202389,3.193533,9.073764,12.389612,7.9666,895.608462,2.826258,2.320561,1.158353,1.163897,1.161128,2.205387,2.516858,2.075258,132.905,207.2,126.904
169,1.8264,-15770.9499,-15780.37933,16.95649,10.227764,3.184919,3.201489,3.194357,9.076845,12.388021,7.954318,894.416491,2.830651,2.325106,1.158427,1.163616,1.161386,2.205727,2.51673,2.073715,132.905,207.2,126.904
170,1.8252,-15770.89446,-15780.37321,17.030117,10.174158,3.18282,3.202125,3.195127,9.08109,12.383767,7.94788,893.80348,2.834983,2.319851,1.157768,1.163815,1.161627,2.206194,2.516386,2.072905,132.905,207.2,126.904
171,1.8087,-15770.83861,-15780.38617,16.827232,10.037391,3.178745,3.199662,3.19364,9.081263,12.376395,7.963266,895.017804,2.822999,2.306317,1.156487,1.163045,1.161161,2.206213,2.515791,2.074839,132.905,207.2,126.904
172,1.8084,-15770.78256,-15780.38306,16.807063,10.035458,3.178584,3.197906,3.193707,9.081042,12.375989,7.961311,894.746905,2.821799,2.306125,1.156436,1.162496,1.161182,2.206189,2.515758,2.074594,132.905,207.2,126.904
173,1.8088,-15770.72706,-15780.37462,16.868277,10.04543,3.178131,3.198614,3.193299,9.08132,12.373773,7.95528,893.936242,2.825435,2.307118,1.156293,1.162718,1.161055,2.20622,2.515579,2.073836,132.905,207.2,126.904
174,1.8123,-15770.6716,-15780.36432,16.984759,10.066197,3.178611,3.200242,3.193088,9.083559,12.374721,7.944032,892.960865,2.832316,2.309183,1.156444,1.163226,1.160989,2.206466,2.515656,2.072421,132.905,207.2,126.904
175,1.8117,-15770.61587,-15780.36005,16.988755,10.068879,3.178197,3.199546,3.193015,9.083869,12.373053,7.941362,892.57087,2.832552,2.309449,1.156314,1.163009,1.160966,2.2065,2.515521,2.072085,132.905,207.2,126.904
176,1.825,-15770.55964,-15780.34198,17.09729,10.22476,3.177905,3.197449,3.19822,9.090443,12.362383,7.9283,890.97872,2.83892,2.324812,1.156222,1.162353,1.162594,2.207224,2.514658,2.070439,132.905,207.2,126.904
177,1.812,-15770.50464,-15780.34845,17.037595,10.079245,3.17766,3.198863,3.192703,9.084427,12.370604,7.932988,891.507967,2.835422,2.310478,1.156145,1.162795,1.160868,2.206562,2.515323,2.07103,132.905,207.2,126.904
178,1.8223,-15770.44845,-15780.32738,17.131272,10.208399,3.176204,3.196351,3.197189,9.089149,12.357061,7.921178,889.668505,2.840906,2.323211,1.155687,1.16201,1.162272,2.207081,2.514228,2.06954,132.905,207.2,126.904
179,1.8135,-15770.39364,-15780.33567,17.116077,10.091547,3.177383,3.19886,3.1924,9.085733,12.369129,7.922446,890.345168,2.840018,2.311698,1.156058,1.162795,1.160773,2.206705,2.515204,2.0697,132.905,207.2,126.904
180,1.8175,-15770.33796,-15780.32801,17.176191,10.124336,3.17743,3.198385,3.193855,9.090464,12.367677,7.913295,889.675361,2.843524,2.314942,1.156073,1.162646,1.161229,2.207226,2.515086,2.068544,132.905,207.2,126.904
181,1.8209,-15770.28215,-15780.3102,17.205237,10.214538,3.175435,3.196458,3.195519,9.08871,12.354049,7.90979,888.129932,2.845214,2.323812,1.155445,1.162043,1.16175,2.207033,2.513984,2.068101,132.905,207.2,126.904
182,1.8357,-15770.22609,-15780.30391,17.254662,10.324067,3.178488,3.19368,3.198556,9.08381,12.358592,7.906735,887.634663,2.848082,2.334478,1.156406,1.161174,1.162699,2.206494,2.514352,2.067715,132.905,207.2,126.904
183,1.8161,-15770.1719,-15780.31023,17.243785,10.119975,3.176527,3.197873,3.192217,9.088298,12.364721,7.902875,888.079841,2.847452,2.314511,1.155788,1.162486,1.160716,2.206988,2.514847,2.067227,132.905,207.2,126.904
184,1.8184,-15770.11663,-15780.30074,17.319935,10.145858,3.176746,3.198826,3.191961,9.08886,12.364155,7.895306,887.243494,2.851858,2.317066,1.155857,1.162784,1.160635,2.207049,2.514802,2.066268,132.905,207.2,126.904
185,1.8196,-15770.06104,-15780.29654,17.322352,10.166589,3.175727,3.197416,3.193781,9.093916,12.359187,7.891029,886.899583,2.851998,2.319107,1.155536,1.162343,1.161206,2.207606,2.5144,2.065726,132.905,207.2,126.904
186,1.8337,-15770.00535,-15780.27913,17.399475,10.322172,3.176626,3.19511,3.197097,9.088002,12.352317,7.887512,885.435389,2.85644,2.334294,1.15582,1.161622,1.162243,2.206955,2.513844,2.065281,132.905,207.2,126.904
187,1.8419,-15769.9491,-15780.26931,17.428043,10.3582,3.178853,3.191473,3.198083,9.086252,12.358858,7.878161,884.683508,2.858081,2.337778,1.15652,1.160483,1.162552,2.206762,2.514373,2.064094,132.905,207.2,126.904
188,1.8233,-15769.89555,-15780.27116,17.450712,10.254537,3.174264,3.198426,3.193926,9.092181,12.348008,7.880055,884.696281,2.85938,2.32772,1.155076,1.162659,1.161251,2.207415,2.513495,2.064335,132.905,207.2,126.904
189,1.837,-15769.83966,-15780.25954,17.493717,10.335097,3.176483,3.193827,3.196898,9.088054,12.351426,7.873241,883.774693,2.861842,2.335546,1.155775,1.16122,1.162181,2.206961,2.513772,2.06347,132.905,207.2,126.904
190,1.8333,-15769.78481,-15780.25105,17.576956,10.302617,3.17549,3.196216,3.195729,9.094837,12.350378,7.86145,883.03488,2.866589,2.332398,1.155462,1.161968,1.161815,2.207707,2.513687,2.061971,132.905,207.2,126.904
191,1.83,-15769.72992,-15780.24934,17.543206,10.313375,3.174198,3.196249,3.195067,9.091778,12.344344,7.866492,882.872362,2.864667,2.333442,1.155055,1.161978,1.161608,2.20737,2.513198,2.062612,132.905,207.2,126.904
