Structure #,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,Length4,Length5,Length6,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc
a0.0300-c0.0250,1.612700,-15780.669783,-15780.669783,15.449028,5.673435,3.389323,3.205524,3.211114,3.389310,3.205522,3.211116,8.790781,13.428900,8.517801,1005.530783,2.737546,1.735795,1.220630,1.164876,1.166618,2.173704,2.597409,2.142158
a0.0300-c0.0300,1.604300,-15780.624139,-15780.624139,15.657115,5.591383,3.405669,3.206364,3.205255,3.405655,3.206362,3.205257,8.790781,13.498100,8.474120,1005.529208,2.750925,1.721227,1.225441,1.165138,1.164792,2.173704,2.602549,2.137017
b-0.0300-c-0.0300,1.682500,-15780.762180,-15780.762180,13.027232,6.924647,3.321633,3.210729,3.217899,3.321620,3.210727,3.217900,8.542300,13.081474,8.998292,1005.521993,2.567042,1.935087,1.200457,1.166498,1.168729,2.145030,2.571197,2.197035
b-0.0300-c-0.0250_new,1.683100,-15780.777799,-15780.777799,13.085653,6.899213,3.320566,3.211827,3.218072,3.320553,3.211826,3.218074,8.584000,13.081474,8.954611,1005.525535,2.571516,1.931407,1.200135,1.166840,1.168783,2.149900,2.571197,2.192169
b-0.0300-c-0.0200,1.683800,-15780.792510,-15780.792510,13.196433,6.825701,3.318925,3.214285,3.217977,3.318912,3.214284,3.217978,8.626000,13.081474,8.910930,1005.516393,2.579947,1.920695,1.199641,1.167605,1.168753,2.154781,2.571197,2.187279
b-0.0300-c-0.0150,1.714700,-15780.797508,-15780.797508,12.808852,7.539362,3.328485,3.209543,3.222324,3.328472,3.209541,3.222326,8.668500,13.081474,8.867249,1005.517250,2.550136,2.020138,1.202517,1.166129,1.170103,2.159696,2.571197,2.182365
b-0.0300-c-0.0100,1.717100,-15780.809910,-15780.809910,12.819790,7.547216,3.328028,3.214336,3.218741,3.328015,3.214334,3.218743,8.711400,13.081474,8.823568,1005.515707,2.550990,2.021179,1.202380,1.167621,1.168990,2.164633,2.571197,2.177426
b-0.0300-c-0.0050,1.716000,-15780.821783,-15780.821783,12.840057,7.502466,3.326807,3.216078,3.217868,3.326795,3.216076,3.217870,8.754800,13.081474,8.779887,1005.522564,2.552570,2.015232,1.202013,1.168163,1.168719,2.169602,2.571197,2.172464
b-0.0300-c0.0000,1.715500,-15780.831278,-15780.831278,12.825229,7.482162,3.326022,3.222532,3.211738,3.326009,3.222530,3.211740,8.798600,13.081474,8.736206,1005.525535,2.551414,2.012522,1.201777,1.170167,1.166812,2.174593,2.571197,2.167476
b-0.0300-c0.0050,1.713800,-15780.839451,-15780.839451,12.795523,7.456132,3.325215,3.223897,3.210383,3.325202,3.223895,3.210385,8.842800,13.081474,8.692525,1005.523935,2.549095,2.009037,1.201534,1.170591,1.166390,2.179604,2.571197,2.162463
